time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.8608476656089987e-06,-3.006960684522463e-07,10.069841846881245,6.283070493293977,6.282614790563368,0.0,-5.067409116379817e-05,-3.421259113987717e-05,2.3264749635786943,-0.005634249827774497,-0.046680148584197285,0.0,-899.8839780559233,-897.9925426360242,899.9443027529627,-899.6936284502951
0.12000000000000001,8.744853121585976e-05,-1.701245977529193e-05,10.278629390441454,6.28291742749931,6.27931528527947,0.0,0.004312022954301661,-0.0006249980015689586,4.626884932244756,0.003316206195102351,-0.08199625794483725,0.0,-899.690627479607,-898.2579734361713,899.7625015136628,-900.0344180106314
0.18,0.0007513750554713067,-7.212287671348088e-05,10.623842545862084,0.0003733643528205377,6.2738538040642275,0.0,0.01987745778816812,-0.0010229781556365186,6.86965620394554,0.022668802548888842,-0.12321911387011272,0.0,-899.7146727936694,-898.039405387207,899.4384128509929,-900.0647250196023
0.23999999999999996,0.0028257987493446888,-8.013921471662931e-05,11.101196170017346,0.0021302942621233,6.26587543473978,0.0,0.0521398558225176,0.0013860328354258562,9.027735025888186,0.04027215570347101,-0.17353971906337504,0.0,-899.8010886382017,-897.7512887712732,899.5487246324097,-900.0395932135788
0.3,0.007482770208203304,0.000208901224790194,11.704880939297727,0.004795435032601603,6.2549122960090315,0.0,0.10684111229675394,0.00919242430942251,11.077525904774923,0.05191228733268005,-0.21618519749784249,0.0,-899.6185136957079,-897.8712060267371,899.7007279916522,-899.888530353457
0.36000000000000004,0.01621717485467778,0.0011677934632929275,12.427802961918873,0.00797777557098378,6.241436309368673,0.0,0.18852363436125166,0.023824107391875057,12.999915844463501,0.05549569308467282,-0.2521724684022908,0.0,-899.4580836516963,-897.9714447997941,899.798952182999,-899.6022200096445
0.4200000000000001,0.030720828478923143,0.003214053467116806,13.261960686253367,0.011497069828534379,6.225903880611337,0.0,0.2992710404086646,0.04539155480776621,14.783773226207321,0.06457334345490505,-0.2776434206635475,0.0,-899.6756395237428,-898.6070964348327,899.8900905484545,-899.8611043868658
0.48000000000000015,0.05273262451781564,0.006759585839623848,14.198735816398473,0.015483221478483244,6.208754164531193,0.0,0.43855151226817213,0.07379893418306119,16.419691635011873,0.07016419904656451,-0.31194493854017197,0.0,-900.0944037480896,-898.6600673741691,899.9611221128913,-899.7407138903477
0.5400000000000001,0.08391762654542248,0.012207480232863421,15.229107871839721,0.019800703569978317,6.18948547790804,0.0,0.6048590501258571,0.1087225943876046,17.90359250063452,0.07554351580418246,-0.35468207589971257,0.0,-900.2599243116114,-898.4715717022773,899.8646207061983,-899.5897443376138
0.6000000000000002,0.12586464032219094,0.019931647536878597,16.343995832857505,0.0245183762576362,6.1676368532948445,0.0,0.7971511719639023,0.14959290380993892,19.237414017107714,0.08436119092694425,-0.4003345909605366,0.0,-900.2299870808434,-898.3068760349286,899.8934097331081,-899.7164466575554
0.6600000000000003,0.18009664936647932,0.030274748705364358,17.534507430344,0.02971319186465493,6.143013911236952,0.0,1.014153431696099,0.19596846993388398,20.425424230768286,0.09085540779650136,-0.4613946712033129,0.0,-900.2266748993342,-897.6568074112424,899.9370321607237,-899.6294301030857
0.7200000000000003,0.24807404434536648,0.043555275669412134,18.79218749262945,0.03524667793959235,6.114730094818235,0.0,1.2552974131364698,0.2474205513020973,21.477763536327775,0.09498674823405087,-0.5260255562586077,0.0,-900.4162625970567,-897.6715325397935,900.1137546189142,-899.6782039168228
0.7800000000000004,0.33123879314453863,0.060059875179216744,20.109218647474815,0.041112495271612204,6.0825825260128354,0.0,1.5203233825610538,0.3033498877561286,22.405485514859084,0.10293173560979635,-0.5965818377654165,0.0,-900.6940287111681,-897.672428106328,900.3039676585206,-899.9947755041808
0.8400000000000004,0.43100870201289043,0.080043348092155,21.478462319437153,0.047355272753915045,6.046183263771642,0.0,1.8087868274952454,0.36334376938326857,23.22012406682001,0.10630094388856587,-0.6562342201432897,0.0,-900.4840785911928,-897.8618778184361,900.580363591069,-900.0622839405431
0.9000000000000005,0.5487757861992738,0.10373965812663442,22.8935371689128,0.05379739107660875,6.0062117293504755,0.0,2.120066179917452,0.42705452969916147,23.935276079370468,0.10951687110167982,-0.7098391029198335,0.0,-900.5322772287434,-898.1151588393354,900.5947878457553,-900.0505499130095
0.9600000000000005,0.6858707396952289,0.13136225012893873,24.34888725152515,0.06055702898071136,5.9630181584071416,0.0,2.4528724289583606,0.49420860081784657,24.564793253016433,0.11837065730269927,-0.7666470998206859,0.0,-900.4600435065286,-897.8711860901496,900.6409583714425,-900.3087952257213
1.0200000000000005,0.8435583975065335,0.16312144113069527,25.839813709770795,0.06775317562642069,5.916414833988515,0.0,2.8064558041624776,0.5650001388165116,25.123367414722125,0.122950497139702,-0.8243335483191989,0.0,-900.4343338642091,-897.7628300398569,900.7679847058673,-900.2506907924394
1.0800000000000005,1.023076196771548,0.1992452597824084,27.36247802774601,0.07543424675858468,5.866353675285648,0.0,3.180660922127568,0.6397767333047043,25.624972395699828,0.1366281777898383,-0.8792220055904952,0.0,-900.3749643252762,-897.7666542820696,900.2295593626329,-900.0718439592114
1.1400000000000006,1.2257083839217815,0.2399988752974019,28.913947944565816,0.08366795040610331,5.81302744711542,0.0,3.5772050933519304,0.7194828623341593,26.085743461528057,0.1384276474527229,-0.9253646720796587,0.0,-900.213881054029,-897.9109525592592,900.4583676715362,-899.8146665971134
